block_id,corridor_id,section_code,km_start,km_end,block_date,start_time,end_time,duration_min,block_type,departments_involved,status,planned_tasks_count,estimated_train_impact,created_by,created_at,updated_at
18,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-15,22:30:00,04:30:00,360,power,"{""P.Way"",""S&T"",""TRD""}",planned,4,72.25,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
19,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-16,22:30:00,04:30:00,265,absolute,"{""P.Way"",""S&T""}",planned,3,37.81,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
20,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-16,22:30:00,04:30:00,345,caution,"{""S&T"",""TRD""}",approved,2,22.69,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
21,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-16,22:30:00,04:30:00,135,absolute,"{""P.Way"",""TRD""}",planned,2,83.15,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
22,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-10,00:45:00,03:45:00,180,absolute,"{""P.Way"",""TRD""}",draft,2,48.40,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
23,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-10,00:45:00,03:45:00,175,absolute,"{""P.Way"",""S&T""}",planned,2,49.59,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
24,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-10,00:45:00,03:45:00,175,absolute,"{""P.Way"",""S&T"",""TRD""}",draft,3,41.71,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
25,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-11,00:45:00,03:45:00,155,absolute,"{""S&T"",""TRD""}",draft,2,35.23,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
26,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-11,00:45:00,03:45:00,180,absolute,"{""P.Way"",""TRD""}",planned,2,39.19,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
27,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-11,00:45:00,03:45:00,170,absolute,"{""P.Way"",""S&T""}",planned,2,48.86,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
28,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-12,00:45:00,03:45:00,165,absolute,"{""P.Way"",""TRD""}",approved,2,42.01,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
29,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-12,00:45:00,03:45:00,165,absolute,"{""S&T"",""TRD""}",planned,2,50.74,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
30,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-12,00:45:00,03:45:00,170,absolute,"{""S&T""}",planned,2,49.41,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
