defect_id,asset_id,department,defect_type,defect_severity,detected_date,detected_by,status,recommended_action,estimated_work_duration_min,max_allowed_delay_days,source_system,source_defect_id,created_at,updated_at
54,16,S&T,signal_blank,critical,2026-08-01,USFD team/PRYJ,acknowledged,Attend signal blank on PYRJ-MIU km 68.237-68.238,90,3,FOIS-OMMS,PYRJ-MIU-0054,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
55,71,P.Way,rail_fracture,critical,2026-08-06,JE/TRD/ALD,deferred,Attend rail fracture on PYRJ-ALD km 7.552-7.794,165,3,TMS,PYRJ-ALD-0055,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
56,60,S&T,signal_blank,critical,2026-09-01,JE/TRD/ALD,in_progress,Attend signal blank on ALD-MZP km 631.123-631.149,105,4,USFD,ALD-MZP-0056,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
57,62,P.Way,P&C_wear,minor,2026-08-26,JE/TRD/ALD,open,Attend P&C wear on PYRJ-ALD km 6.063-6.524,50,24,CRIS-CMS,PYRJ-ALD-0057,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
58,77,P.Way,gauge_slack,major,2026-09-06,SSE/S&T/PRYJ,acknowledged,Attend gauge slack on PYRJ-ALD km 6.523-9.156,120,9,TRC,PYRJ-ALD-0058,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
59,35,TRD,dropper_missing,observational,2026-09-10,SSE/S&T/PRYJ,open,Attend dropper missing on PYRJ-ALD km 0.079-1.512,45,48,CRIS-CMS,PYRJ-ALD-0059,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
60,58,S&T,aspect_dim,minor,2026-08-11,SSE/S&T/PRYJ,open,Attend aspect dim on PYRJ-MIU km 20.569-20.585,55,24,USFD,PYRJ-MIU-0060,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
61,42,P.Way,scabbing,major,2026-08-26,USFD team/PRYJ,acknowledged,Attend scabbing on ALD-MZP km 654.996-658.227,90,8,USFD,ALD-MZP-0061,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
62,6,S&T,axle_counter_reset,major,2026-08-11,TRC recording,in_progress,Attend axle counter reset on ALD-MZP km 659.822-659.894,90,10,CRIS-CMS,ALD-MZP-0062,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
63,64,S&T,signal_blank,critical,2026-09-02,USFD team/PRYJ,closed,Attend signal blank on PYRJ-MIU km 38.129-38.198,105,2,USFD,PYRJ-MIU-0063,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
64,13,S&T,aspect_dim,minor,2026-08-12,SSE/P.Way/PRYJ,in_progress,Attend aspect dim on PYRJ-MIU km 10.819-10.874,40,24,CRIS-CMS,PYRJ-MIU-0064,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
65,10,TRD,auto_tension_failure,critical,2026-08-25,SSE/S&T/PRYJ,deferred,Attend auto tension failure on PYRJ-MIU km 5.937-6.979,180,2,FOIS-OMMS,PYRJ-MIU-0065,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
66,87,S&T,EI_alarm,observational,2026-08-07,JE/TRD/ALD,open,Attend EI alarm on ALD-MZP km 685.016-685.052,45,48,TRC,ALD-MZP-0066,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
67,5,S&T,aspect_dim,minor,2026-09-06,JE/P.Way/MZP,in_progress,Attend aspect dim on PYRJ-ALD km 9.230-9.274,55,22,TMS,PYRJ-ALD-0067,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
68,56,P.Way,weld_failure,critical,2026-08-01,TRC recording,deferred,Attend weld failure on PYRJ-ALD km 9.816-11.962,135,5,CRIS-CMS,PYRJ-ALD-0068,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
69,89,P.Way,ballast_deficiency,minor,2026-09-09,SSE/P.Way/PRYJ,closed,Attend ballast deficiency on PYRJ-ALD km 4.388-8.746,60,21,FOIS-OMMS,PYRJ-ALD-0069,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
70,46,S&T,axle_counter_reset,major,2026-08-14,JE/P.Way/MZP,deferred,Attend axle counter reset on PYRJ-MIU km 18.103-18.113,60,10,TRC,PYRJ-MIU-0070,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
71,88,TRD,dropper_missing,observational,2026-08-30,JE/P.Way/MZP,open,Attend dropper missing on PYRJ-MIU km 7.105-7.178,30,45,TRC,PYRJ-MIU-0071,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
72,49,P.Way,scabbing,major,2026-08-10,USFD team/PRYJ,in_progress,Attend scabbing on PYRJ-MIU km 79.469-81.708,60,8,USFD,PYRJ-MIU-0072,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
73,82,P.Way,ballast_deficiency,minor,2026-08-12,SSE/S&T/PRYJ,open,Attend ballast deficiency on PYRJ-MIU km 24.124-27.241,30,24,FOIS-OMMS,PYRJ-MIU-0073,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
74,87,S&T,aspect_dim,minor,2026-08-31,SSE/P.Way/PRYJ,open,Attend aspect dim on ALD-MZP km 685.016-685.052,70,23,TRC,ALD-MZP-0074,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
75,39,TRD,mast_foundation_tilt,major,2026-08-14,TRC recording,acknowledged,Attend mast foundation tilt on ALD-MZP km 703.608-703.969,195,10,FOIS-OMMS,ALD-MZP-0075,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
76,26,S&T,cable_fault,major,2026-08-11,SSE/P.Way/PRYJ,acknowledged,Attend cable fault on PYRJ-ALD km 10.071-10.130,120,10,TRC,PYRJ-ALD-0076,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
77,46,S&T,aspect_dim,minor,2026-08-23,TRC recording,in_progress,Attend aspect dim on PYRJ-MIU km 18.103-18.113,55,21,USFD,PYRJ-MIU-0077,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
78,36,S&T,signal_blank,critical,2026-08-05,OMMS footplate,closed,Attend signal blank on ALD-MZP km 645.819-645.870,75,5,FOIS-OMMS,ALD-MZP-0078,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
79,100,TRD,dropper_missing,observational,2026-08-27,USFD team/PRYJ,open,Attend dropper missing on PYRJ-MIU km 14.943-15.577,45,46,CRIS-CMS,PYRJ-MIU-0079,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
80,80,TRD,insulator_flashover,major,2026-09-02,TRC recording,in_progress,Attend insulator flashover on PYRJ-ALD km 3.009-4.360,60,7,FOIS-OMMS,PYRJ-ALD-0080,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
81,57,S&T,signal_blank,critical,2026-08-04,SSE/S&T/PRYJ,open,Attend signal blank on ALD-MZP km 686.057-686.102,90,2,FOIS-OMMS,ALD-MZP-0081,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
82,42,P.Way,sleeper_decay,major,2026-08-30,JE/P.Way/MZP,open,Attend sleeper decay on ALD-MZP km 654.996-658.227,75,9,TRC,ALD-MZP-0082,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
83,65,TRD,insulator_flashover,major,2026-08-31,SSE/S&T/PRYJ,in_progress,Attend insulator flashover on PYRJ-ALD km 6.998-7.627,105,9,FOIS-OMMS,PYRJ-ALD-0083,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
84,15,TRD,auto_tension_failure,critical,2026-09-06,JE/P.Way/MZP,open,Attend auto tension failure on ALD-MZP km 662.624-662.936,150,5,TRC,ALD-MZP-0084,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
85,47,S&T,signal_blank,critical,2026-08-16,SSE/P.Way/PRYJ,closed,Attend signal blank on PYRJ-ALD km 5.216-5.252,105,2,USFD,PYRJ-ALD-0085,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
86,48,S&T,LC_boom_sticking,major,2026-08-25,USFD team/PRYJ,in_progress,Attend LC boom sticking on ALD-MZP km 698.894-698.931,80,9,TMS,ALD-MZP-0086,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
87,87,S&T,track_circuit_failure,critical,2026-08-11,SSE/P.Way/PRYJ,closed,Attend track circuit failure on ALD-MZP km 685.016-685.052,90,3,TMS,ALD-MZP-0087,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
88,82,P.Way,P&C_wear,minor,2026-08-22,TRC recording,in_progress,Attend P&C wear on PYRJ-MIU km 24.124-27.241,80,21,CRIS-CMS,PYRJ-MIU-0088,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
89,6,S&T,signal_blank,critical,2026-08-22,JE/TRD/ALD,in_progress,Attend signal blank on ALD-MZP km 659.822-659.894,75,2,CRIS-CMS,ALD-MZP-0089,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
90,69,TRD,contact_wire_wear,major,2026-08-17,JE/TRD/ALD,open,Attend contact wire wear on ALD-MZP km 681.588-682.568,105,10,TRC,ALD-MZP-0090,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
91,96,P.Way,gauge_slack,major,2026-08-15,TRC recording,open,Attend gauge slack on ALD-MZP km 703.215-707.392,75,10,TRC,ALD-MZP-0091,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
92,53,P.Way,ballast_deficiency,minor,2026-09-08,TRC recording,open,Attend ballast deficiency on PYRJ-ALD km 7.420-11.598,60,22,USFD,PYRJ-ALD-0092,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
93,57,S&T,track_circuit_failure,critical,2026-08-18,SSE/P.Way/PRYJ,open,Attend track circuit failure on ALD-MZP km 686.057-686.102,90,4,TMS,ALD-MZP-0093,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
94,51,TRD,insulator_flashover,major,2026-08-29,SSE/P.Way/PRYJ,open,Attend insulator flashover on ALD-MZP km 704.748-706.762,105,7,CRIS-CMS,ALD-MZP-0094,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
95,83,P.Way,rail_fracture,critical,2026-09-07,OMMS footplate,open,Attend rail fracture on PYRJ-ALD km 10.030-11.386,195,3,CRIS-CMS,PYRJ-ALD-0095,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
96,73,S&T,track_circuit_failure,critical,2026-09-06,OMMS footplate,acknowledged,Attend track circuit failure on PYRJ-MIU km 12.512-12.553,75,3,CRIS-CMS,PYRJ-MIU-0096,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
97,43,P.Way,gauge_slack,major,2026-08-03,SSE/P.Way/PRYJ,open,Attend gauge slack on PYRJ-MIU km 67.186-69.534,105,8,CRIS-CMS,PYRJ-MIU-0097,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
98,70,P.Way,ballast_deficiency,minor,2026-08-30,SSE/P.Way/PRYJ,acknowledged,Attend ballast deficiency on PYRJ-MIU km 85.652-87.956,30,22,TMS,PYRJ-MIU-0098,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
99,46,S&T,EI_alarm,observational,2026-08-26,USFD team/PRYJ,in_progress,Attend EI alarm on PYRJ-MIU km 18.103-18.113,45,45,CRIS-CMS,PYRJ-MIU-0099,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
100,34,S&T,signal_blank,critical,2026-09-02,TRC recording,open,Attend signal blank on PYRJ-MIU km 55.579-55.607,120,2,TMS,PYRJ-MIU-0100,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
101,61,P.Way,P&C_wear,minor,2026-08-18,USFD team/PRYJ,acknowledged,Attend P&C wear on PYRJ-MIU km 78.439-80.952,35,24,TRC,PYRJ-MIU-0101,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
102,29,TRD,jumper_hotspot,minor,2026-09-08,TRC recording,open,Attend jumper hotspot on PYRJ-ALD km 4.358-6.458,60,24,TMS,PYRJ-ALD-0102,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
103,8,TRD,auto_tension_failure,critical,2026-08-16,JE/TRD/ALD,acknowledged,Attend auto tension failure on PYRJ-ALD km 0.572-0.835,135,5,USFD,PYRJ-ALD-0103,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
104,10,TRD,OHE_snap,critical,2026-08-21,USFD team/PRYJ,acknowledged,Attend OHE snap on PYRJ-MIU km 5.937-6.979,210,2,CRIS-CMS,PYRJ-MIU-0104,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
105,36,S&T,aspect_dim,minor,2026-08-01,USFD team/PRYJ,acknowledged,Attend aspect dim on ALD-MZP km 645.819-645.870,55,24,TRC,ALD-MZP-0105,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
106,68,S&T,axle_counter_reset,major,2026-08-12,USFD team/PRYJ,open,Attend axle counter reset on PYRJ-ALD km 3.879-3.933,90,7,TMS,PYRJ-ALD-0106,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
107,84,TRD,mast_foundation_tilt,major,2026-08-06,TRC recording,in_progress,Attend mast foundation tilt on ALD-MZP km 661.726-661.993,180,10,USFD,ALD-MZP-0107,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
108,30,P.Way,sleeper_decay,major,2026-08-20,OMMS footplate,open,Attend sleeper decay on ALD-MZP km 685.742-690.215,105,10,USFD,ALD-MZP-0108,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
109,94,P.Way,weld_failure,critical,2026-08-21,JE/TRD/ALD,acknowledged,Attend weld failure on PYRJ-MIU km 36.669-40.936,165,4,FOIS-OMMS,PYRJ-MIU-0109,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
110,20,P.Way,P&C_wear,minor,2026-09-06,SSE/P.Way/PRYJ,in_progress,Attend P&C wear on PYRJ-ALD km 4.220-5.335,35,21,USFD,PYRJ-ALD-0110,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
