asset_id,asset_type,sub_type,division_code,section_code,corridor_id,km_start,km_end,line_category,traffic_density_class,created_at,updated_at
22,track,P&C,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,53.950,58.375,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
23,track,bridge_approach,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,11.252,11.541,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
24,traction,AT,PRYJ,ALD-MZP,NCR-PRYJ-MGS,646.229,648.175,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
25,traction,OHE,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,87.486,89.599,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
26,signal,EI,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,10.071,10.130,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
27,traction,mast,PRYJ,ALD-MZP,NCR-PRYJ-MGS,637.323,639.172,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
28,track,LWR,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,14.852,19.408,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
29,traction,AT,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,4.358,6.458,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
30,track,SEJ,PRYJ,ALD-MZP,NCR-PRYJ-MGS,685.742,690.215,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
31,track,SEJ,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,29.106,30.232,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
32,signal,EI,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,5.410,5.462,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
33,signal,MACLS,PRYJ,ALD-MZP,NCR-PRYJ-MGS,647.381,647.418,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
34,signal,axle_counter,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,55.579,55.607,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
35,traction,jumper,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,0.079,1.512,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
36,signal,MACLS,PRYJ,ALD-MZP,NCR-PRYJ-MGS,645.819,645.870,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
37,traction,AT,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,6.549,8.619,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
38,signal,EI,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,6.008,6.031,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
39,traction,isolator,PRYJ,ALD-MZP,NCR-PRYJ-MGS,703.608,703.969,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
40,track,P&C,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,22.271,25.121,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
41,track,rail,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,1.616,5.530,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
42,track,P&C,PRYJ,ALD-MZP,NCR-PRYJ-MGS,654.996,658.227,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
43,track,SEJ,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,67.186,69.534,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
44,signal,MACLS,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,7.979,8.031,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
45,track,bridge_approach,PRYJ,ALD-MZP,NCR-PRYJ-MGS,654.211,656.263,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
46,signal,EI,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,18.103,18.113,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
47,signal,track_circuit,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,5.216,5.252,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
48,signal,MACLS,PRYJ,ALD-MZP,NCR-PRYJ-MGS,698.894,698.931,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
49,track,LWR,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,79.469,81.708,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
50,track,LWR,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,7.662,8.313,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
51,traction,AT,PRYJ,ALD-MZP,NCR-PRYJ-MGS,704.748,706.762,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
52,signal,axle_counter,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,45.886,45.900,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
53,track,sleeper,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,7.420,11.598,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
54,signal,track_circuit,PRYJ,ALD-MZP,NCR-PRYJ-MGS,708.011,708.042,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
55,track,ballast,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,70.691,75.153,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
56,track,bridge_approach,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,9.816,11.962,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
57,signal,axle_counter,PRYJ,ALD-MZP,NCR-PRYJ-MGS,686.057,686.102,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
58,signal,MACLS,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,20.569,20.585,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
59,track,SEJ,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,5.170,8.034,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
60,signal,IBS,PRYJ,ALD-MZP,NCR-PRYJ-MGS,631.123,631.149,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
61,track,sleeper,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,78.439,80.952,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
62,track,bridge_approach,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,6.063,6.524,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
63,track,SEJ,PRYJ,ALD-MZP,NCR-PRYJ-MGS,675.314,676.369,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
64,signal,EI,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,38.129,38.198,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
65,traction,isolator,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,6.998,7.627,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
66,track,LWR,PRYJ,ALD-MZP,NCR-PRYJ-MGS,680.690,681.267,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
67,traction,AT,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,87.135,88.413,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
68,signal,track_circuit,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,3.879,3.933,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
69,traction,SSP,PRYJ,ALD-MZP,NCR-PRYJ-MGS,681.588,682.568,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
70,track,rail,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,85.652,87.956,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
71,track,LWR,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,7.552,7.794,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
72,traction,AT,PRYJ,ALD-MZP,NCR-PRYJ-MGS,632.851,635.241,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
73,signal,track_circuit,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,12.512,12.553,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
74,traction,SSP,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,9.039,11.159,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
75,signal,EI,PRYJ,ALD-MZP,NCR-PRYJ-MGS,663.030,663.054,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
76,traction,jumper,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,56.762,58.465,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
77,track,LWR,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,6.523,9.156,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
78,traction,AT,PRYJ,ALD-MZP,NCR-PRYJ-MGS,681.064,681.817,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
79,traction,jumper,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,83.480,84.152,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
80,traction,isolator,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,3.009,4.360,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
81,signal,LC_gate,PRYJ,ALD-MZP,NCR-PRYJ-MGS,655.196,655.213,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
82,track,P&C,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,24.124,27.241,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
83,track,rail,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,10.030,11.386,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
84,traction,SSP,PRYJ,ALD-MZP,NCR-PRYJ-MGS,661.726,661.993,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
85,traction,AT,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,31.470,31.623,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
86,track,SEJ,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,2.428,5.559,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
87,signal,EI,PRYJ,ALD-MZP,NCR-PRYJ-MGS,685.016,685.052,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
88,traction,jumper,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,7.105,7.178,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
89,track,bridge_approach,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,4.388,8.746,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
90,signal,IBS,PRYJ,ALD-MZP,NCR-PRYJ-MGS,672.429,672.459,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
91,traction,OHE,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,29.023,29.372,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
92,track,sleeper,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,1.694,6.029,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
93,track,LWR,PRYJ,ALD-MZP,NCR-PRYJ-MGS,654.934,658.202,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
94,track,LWR,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,36.669,40.936,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
95,track,sleeper,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,8.103,11.750,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
96,track,bridge_approach,PRYJ,ALD-MZP,NCR-PRYJ-MGS,703.215,707.392,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
97,traction,AT,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,38.770,39.236,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
98,track,P&C,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,2.927,6.515,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
99,track,bridge_approach,PRYJ,ALD-MZP,NCR-PRYJ-MGS,694.708,698.598,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
100,traction,jumper,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,14.943,15.577,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
