task_id,asset_id,department,task_type,linked_defect_id,priority_score,failure_prob_7d,failure_prob_30d,urgency_score,estimated_duration_min,earliest_start_date,latest_end_date,preferred_shift,status,source_system,created_at,updated_at
37,78,TRD,corrective_insulator_flashover,45,70.12,0.2066,0.3473,66.02,75,2026-09-10,2026-09-17,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
38,68,S&T,corrective_axle_counter_reset,106,64.69,0.1824,0.3937,58.91,90,2026-09-10,2026-09-17,night,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
39,32,S&T,corrective_LC_boom_sticking,143,73.8,0.2022,0.3679,73.44,50,2026-09-10,2026-09-19,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
40,77,P.Way,corrective_scabbing,35,64.77,0.2196,0.4565,64.21,90,2026-09-10,2026-09-20,day,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
41,22,P.Way,corrective_ballast_deficiency,42,36.38,0.0586,0.2624,30.25,60,2026-09-10,2026-10-04,day,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
42,11,TRD,corrective_insulator_flashover,180,71.75,0.1794,0.428,68.69,105,2026-09-10,2026-09-20,any,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
43,28,P.Way,corrective_gauge_slack,125,74.88,0.1763,0.3628,69.59,105,2026-09-10,2026-09-17,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
44,23,P.Way,corrective_weld_failure,38,89.84,0.3443,0.43,85.54,180,2026-09-10,2026-09-17,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
45,64,S&T,corrective_EI_alarm,20,24.73,0.0056,0.0563,24.55,60,2026-09-10,2026-10-26,night,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
46,93,P.Way,corrective_gauge_slack,146,72.08,0.1881,0.3445,65.5,90,2026-09-10,2026-09-19,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
47,29,TRD,corrective_jumper_hotspot,102,40.15,0.0493,0.2868,34.35,60,2026-09-10,2026-10-04,night,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
48,71,P.Way,corrective_ballast_deficiency,191,45.71,0.0593,0.2626,38.64,45,2026-09-10,2026-10-02,night,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
49,87,S&T,corrective_aspect_dim,74,38.47,0.0371,0.0938,33.69,70,2026-09-10,2026-10-03,any,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
50,78,TRD,corrective_auto_tension_failure,122,82.58,0.3718,0.5023,80.71,150,2026-09-10,2026-09-17,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
51,28,P.Way,corrective_ballast_deficiency,189,46.36,0.034,0.1847,44.05,30,2026-09-10,2026-10-02,any,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
52,66,P.Way,corrective_scabbing,192,72.78,0.1723,0.3419,67.4,60,2026-09-10,2026-09-18,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
53,9,P.Way,corrective_sleeper_decay,33,67.62,0.16,0.3421,65.85,60,2026-09-10,2026-09-18,night,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
54,61,P.Way,corrective_ballast_deficiency,39,36.73,0.0964,0.3223,29.44,60,2026-09-10,2026-10-03,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
55,65,TRD,corrective_insulator_flashover,83,69.13,0.1847,0.4292,61.59,105,2026-09-10,2026-09-19,night,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
56,17,S&T,corrective_axle_counter_reset,30,73.43,0.1723,0.3056,72.24,75,2026-09-10,2026-09-18,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
57,43,P.Way,corrective_gauge_slack,97,73.05,0.1831,0.403,70.65,105,2026-09-10,2026-09-18,any,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
58,45,P.Way,corrective_weed_growth,115,25.67,0.054,0.2165,17.93,45,2026-09-10,2026-10-26,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
59,5,S&T,corrective_aspect_dim,67,37.61,0.047,0.1377,32.44,55,2026-09-10,2026-10-02,day,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
60,25,TRD,corrective_OHE_snap,22,92.17,0.3265,0.5214,90.64,240,2026-09-10,2026-09-17,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
61,72,TRD,corrective_jumper_hotspot,112,44.08,0.0722,0.2969,42.58,30,2026-09-10,2026-10-04,any,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
62,3,TRD,corrective_jumper_hotspot,9,44.69,0.0691,0.215,37.74,45,2026-09-10,2026-10-04,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
63,57,S&T,corrective_EI_alarm,186,27.48,0.0,0.2374,19.79,30,2026-09-10,2026-10-27,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
64,68,S&T,corrective_cable_fault,195,75.99,0.1835,0.282,71.16,105,2026-09-10,2026-09-18,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
65,53,P.Way,corrective_ballast_deficiency,92,46.98,0.0686,0.2737,43.94,60,2026-09-10,2026-10-02,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
66,52,S&T,corrective_signal_blank,130,86.31,0.3383,0.4909,82.33,120,2026-09-10,2026-09-17,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
67,96,P.Way,corrective_gauge_slack,91,75.78,0.1829,0.4008,68.46,75,2026-09-10,2026-09-20,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
68,64,S&T,corrective_LC_boom_sticking,126,68.97,0.1894,0.2836,67.8,50,2026-09-10,2026-09-20,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
69,43,P.Way,corrective_weed_growth,26,27.22,0.0305,0.1641,26.0,45,2026-09-10,2026-10-27,night,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
70,64,S&T,corrective_aspect_dim,166,40.56,0.0883,0.2382,35.32,40,2026-09-10,2026-10-02,night,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
71,48,S&T,corrective_LC_boom_sticking,86,67.09,0.2075,0.4508,61.95,80,2026-09-10,2026-09-19,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
72,20,P.Way,corrective_ballast_deficiency,198,38.02,0.0856,0.1695,32.26,60,2026-09-10,2026-10-02,night,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
73,45,P.Way,corrective_sleeper_decay,48,75.0,0.1879,0.3663,74.53,60,2026-09-10,2026-09-18,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
74,19,TRD,corrective_jumper_hotspot,118,46.16,0.0962,0.2798,40.05,45,2026-09-10,2026-10-01,night,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
75,57,S&T,corrective_signal_blank,137,92.11,0.3362,0.5276,92.04,105,2026-09-10,2026-09-17,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
76,23,P.Way,corrective_ballast_deficiency,17,40.48,0.0732,0.2566,35.55,75,2026-09-10,2026-10-04,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
77,9,P.Way,corrective_P&C_wear,173,41.85,0.0305,0.1908,41.76,50,2026-09-10,2026-10-01,night,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
78,76,TRD,corrective_auto_tension_failure,36,85.3,0.3884,0.4419,78.79,135,2026-09-10,2026-09-17,night,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
79,47,S&T,corrective_signal_blank,85,91.67,0.3837,0.4551,90.9,105,2026-09-10,2026-09-17,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
80,77,P.Way,corrective_gauge_slack,58,66.3,0.1869,0.3999,64.16,120,2026-09-10,2026-09-19,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
81,17,S&T,corrective_signal_blank,184,86.48,0.3484,0.5114,78.55,105,2026-09-10,2026-09-17,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
82,12,P.Way,corrective_weed_growth,50,24.21,0.0494,0.2301,17.34,15,2026-09-10,2026-10-28,any,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
83,73,S&T,corrective_track_circuit_failure,10,83.12,0.3465,0.5071,82.67,90,2026-09-10,2026-09-17,night,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
84,17,S&T,corrective_aspect_dim,152,38.06,0.065,0.2018,31.78,40,2026-09-10,2026-10-02,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
85,88,TRD,corrective_dropper_missing,71,26.3,0.0,0.1556,25.96,30,2026-09-10,2026-10-25,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
86,57,S&T,corrective_track_circuit_failure,93,92.42,0.3821,0.5272,92.04,90,2026-09-10,2026-09-17,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
87,8,TRD,corrective_insulator_flashover,138,75.11,0.213,0.3757,74.84,90,2026-09-10,2026-09-20,day,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
88,49,P.Way,corrective_scabbing,72,67.77,0.2173,0.3847,61.76,60,2026-09-10,2026-09-18,any,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
89,82,P.Way,corrective_ballast_deficiency,73,40.78,0.0354,0.1179,38.86,30,2026-09-10,2026-10-04,any,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
90,20,P.Way,corrective_P&C_wear,110,40.67,0.0928,0.2091,34.63,35,2026-09-10,2026-10-01,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
91,73,S&T,corrective_track_circuit_failure,96,93.86,0.3707,0.5209,86.07,75,2026-09-10,2026-09-17,night,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
92,42,P.Way,corrective_weed_growth,6,21.25,0.0487,0.1668,15.09,60,2026-09-10,2026-10-27,day,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
93,99,P.Way,corrective_P&C_wear,150,40.76,0.0841,0.1401,38.57,50,2026-09-10,2026-10-02,day,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
94,67,TRD,corrective_insulator_flashover,52,69.89,0.1749,0.4131,66.43,105,2026-09-10,2026-09-20,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
95,75,S&T,corrective_cable_fault,47,71.93,0.156,0.3297,65.54,150,2026-09-10,2026-09-17,any,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
96,51,TRD,corrective_insulator_flashover,94,64.98,0.1608,0.3531,59.91,105,2026-09-10,2026-09-17,any,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
97,38,S&T,corrective_EI_alarm,151,19.8,0.0,0.051,17.33,15,2026-09-10,2026-10-27,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
98,94,P.Way,corrective_ballast_deficiency,18,39.24,0.0393,0.1268,35.65,45,2026-09-10,2026-10-01,night,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
99,60,S&T,corrective_signal_blank,56,86.9,0.3218,0.4426,86.15,105,2026-09-10,2026-09-17,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
100,16,S&T,corrective_EI_alarm,14,19.89,0.017,0.1253,16.79,15,2026-09-10,2026-10-27,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
101,35,TRD,corrective_auto_tension_failure,2,92.81,0.3834,0.629,88.24,180,2026-09-10,2026-09-17,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
102,58,S&T,corrective_signal_blank,142,86.57,0.3297,0.4399,82.62,75,2026-09-10,2026-09-17,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
103,94,P.Way,corrective_weld_failure,109,87.22,0.3495,0.4963,86.6,165,2026-09-10,2026-09-17,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
104,42,P.Way,corrective_scabbing,61,66.96,0.1938,0.3625,65.39,90,2026-09-10,2026-09-18,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
105,4,P.Way,corrective_weed_growth,193,19.66,0.0564,0.1729,14.69,45,2026-09-10,2026-10-28,any,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
106,56,P.Way,corrective_weld_failure,131,85.95,0.3434,0.5565,79.08,180,2026-09-10,2026-09-17,day,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
107,86,P.Way,corrective_weld_failure,168,83.63,0.3424,0.5819,82.03,135,2026-09-10,2026-09-17,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
108,21,P.Way,corrective_rail_fracture,121,93.57,0.3878,0.4961,88.02,210,2026-09-10,2026-09-17,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
109,5,S&T,corrective_signal_blank,139,88.91,0.337,0.4622,82.38,105,2026-09-10,2026-09-17,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
110,13,S&T,corrective_LC_boom_sticking,111,65.37,0.1895,0.3579,61.0,50,2026-09-10,2026-09-17,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
111,61,P.Way,corrective_rail_fracture,7,88.6,0.3867,0.529,82.93,195,2026-09-10,2026-09-17,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
112,74,TRD,corrective_OHE_snap,46,85.5,0.3685,0.5823,79.13,240,2026-09-10,2026-09-17,night,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
113,98,P.Way,corrective_P&C_wear,136,41.99,0.0743,0.1727,36.72,65,2026-09-10,2026-10-03,any,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
114,56,P.Way,corrective_ballast_deficiency,182,45.47,0.0352,0.2833,41.64,30,2026-09-10,2026-10-01,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
115,14,S&T,corrective_EI_alarm,31,22.08,0.0544,0.2428,17.73,45,2026-09-10,2026-10-28,any,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
116,35,TRD,corrective_dropper_missing,59,20.31,0.0527,0.2101,15.21,45,2026-09-10,2026-10-28,night,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
117,10,TRD,corrective_auto_tension_failure,65,91.23,0.366,0.487,86.05,180,2026-09-10,2026-09-17,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
118,1,S&T,corrective_LC_boom_sticking,51,75.8,0.1974,0.3273,69.78,80,2026-09-10,2026-09-17,day,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
119,67,TRD,corrective_auto_tension_failure,188,87.17,0.3207,0.4225,83.08,165,2026-09-10,2026-09-17,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
120,93,P.Way,corrective_gauge_slack,3,70.97,0.1903,0.3294,67.84,75,2026-09-10,2026-09-20,any,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
121,35,TRD,corrective_OHE_snap,176,89.06,0.355,0.474,88.87,240,2026-09-10,2026-09-17,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
122,67,TRD,corrective_insulator_flashover,199,68.99,0.2173,0.2905,61.47,75,2026-09-10,2026-09-19,night,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
123,79,TRD,corrective_OHE_snap,163,85.74,0.3519,0.4432,81.88,225,2026-09-10,2026-09-17,night,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
124,91,TRD,corrective_contact_wire_wear,127,69.26,0.1988,0.3126,66.86,105,2026-09-10,2026-09-17,any,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
125,58,S&T,corrective_aspect_dim,60,37.38,0.0894,0.269,31.96,55,2026-09-10,2026-10-04,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
126,87,S&T,corrective_EI_alarm,66,27.81,0.0071,0.092,26.53,45,2026-09-10,2026-10-28,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
127,82,P.Way,corrective_weld_failure,133,93.5,0.3362,0.4672,92.03,150,2026-09-10,2026-09-17,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
128,81,S&T,corrective_axle_counter_reset,200,69.19,0.152,0.3249,67.61,45,2026-09-10,2026-09-18,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
129,53,P.Way,corrective_P&C_wear,49,40.67,0.0793,0.1705,34.65,80,2026-09-10,2026-10-01,any,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
130,17,S&T,corrective_aspect_dim,194,36.75,0.0371,0.2615,35.26,55,2026-09-10,2026-10-04,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
131,15,TRD,corrective_auto_tension_failure,84,87.49,0.3384,0.5609,83.27,150,2026-09-10,2026-09-17,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
132,78,TRD,corrective_dropper_missing,179,23.16,0.0328,0.2002,20.38,45,2026-09-10,2026-10-27,any,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
133,5,S&T,corrective_EI_alarm,175,23.41,0.047,0.2382,21.03,45,2026-09-10,2026-10-25,night,pending,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
134,30,P.Way,corrective_sleeper_decay,108,65.02,0.1594,0.2329,62.57,105,2026-09-10,2026-09-20,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
135,46,S&T,corrective_EI_alarm,99,24.32,0.0258,0.1594,23.22,45,2026-09-10,2026-10-25,night,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
